ID,X,Y,DEP,PROV,DIST,NOMCP,RED_SALUD,METALES,ZONA,Cuenca
40934,-77.1274464799983,-9.5285298699999,ANCASH,HUARI,SAN MARCOS,Juprog,Conchucos Sur,Plomo/Cadmio,Rural,Intercuenca Alto Marañón V
40935,-77.0195037699988,-9.52298636999993,ANCASH,HUARI,SAN MARCOS,Ayash Huaripampa,Conchucos Sur,Plomo/Cadmio,Rural,Intercuenca Alto Marañón V
40936,-77.927908019984,-9.21384531999943,ANCASH,HUAYLAS,PAMPAROMAS,Quicacayan,Huaylas Norte,Arsénico,Rural,Cuenca Nepeña
40937,-77.914320389984,-8.86457138999948,ANCASH,HUAYLAS,SANTO TORIBIO,Santo Toribio,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40938,-77.9273730299835,-8.86725026999942,ANCASH,HUAYLAS,SANTO TORIBIO,Quekuas,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40939,-77.9058338869842,-8.73925808499948,ANCASH,HUAYLAS,YURACMARCA,Huaracayoc,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40940,-77.8232952499876,-9.17438927999956,ANCASH,HUAYLAS,PUEBLO LIBRE,Huacay,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40941,-77.807215019988,-9.14959521999959,ANCASH,HUAYLAS,PUEBLO LIBRE,Carhua,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40942,-77.8121940699879,-9.14261802999955,ANCASH,HUAYLAS,PUEBLO LIBRE,Marca,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40943,-77.8246781599875,-9.12756363999955,ANCASH,HUAYLAS,PUEBLO LIBRE,Huamancayan,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40944,-77.8618050399859,-8.81831050999952,ANCASH,HUAYLAS,HUALLANCA,Huallanca,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40945,-77.3673285699963,-8.96111637999987,ANCASH,MARISCAL LUZURIAGA,LLUMPA,Llumpa,Conchucos Norte,Arsénico,Rural,Intercuenca Alto Marañón V
40946,-77.7893638999885,-9.12494440999959,ANCASH,HUAYLAS,PUEBLO LIBRE,Llacta,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40947,-77.8338273899872,-9.12068287999954,ANCASH,HUAYLAS,PUEBLO LIBRE,Coirocsho,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40948,-77.8022125299882,-9.11608914999957,ANCASH,HUAYLAS,PUEBLO LIBRE,Huashca,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40949,-77.8417478399869,-9.11126228999954,ANCASH,HUAYLAS,PUEBLO LIBRE,Cochatanca,Huaylas Norte,Arsénico,Rural,Cuenca Santa
40950,-77.6548113199915,-8.59566150999972,ANCASH,SIHUAS,CASHAPAMPA,Pasacancha,Conchucos Norte,Arsénico,Rural,Intercuenca Alto Marañón V
40951,-78.1427402899761,-10.1000758599989,ANCASH,HUARMEY,HUARMEY,9 De Octubre,Pacífico Sur,Arsénico,Urbano,Cuenca Huarmey
