ID_registro,Titular,Proyecto,Tipo de uso,Volumen acreditado (m³/año),Fuente de agua,Resolución,Fecha de resolución,Autoridad Administrativa del Agua,Administración Local de Agua,Unidad hidrográfica,Provincia,Distrito
41269,MUNICIPALIDAD DISTRITAL DE HUACLLÁN,"MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CANAL DE RIEGO EN LOS SECTORES CANTU, LUYAC ALLPA Y CRUZ HIRCA DISTRITO DE HUACLLAN DE LA PROVINCIA DE AIJA DEL DEPARTAMENTO DE ANCASH ""CUI 2651287""",Agrícola,1 494 490.00,Quebrada Ulltec,RA 062-2024 ANA-AAA.HCH-ALA.CHUARMEY,09/08/2024,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Huacllan
41270,MUNICIPALIDAD DISTRITAL DE QUILLO,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL ANEXO MARCOPAMPA DEL DISTRITO DE QUILLO DE LA PROVINCIA DE YUNGAY DEL DEPARTAMENTO DE ANCASH,Poblacional,3 793.00,Manantial Cachi puquio,RA 063-2024 ANA-AAA.HCH-ALA.CHUARMEY,09/08/2024,Huarmey Chicama,Casma Huarmey,Cuenca Casma,Yungay,Quillo
41271,MUNICIPALIDAD DISTRITAL DE QUILLO,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL ANEXO MARCOPAMPA DEL DISTRITO DE QUILLO DE LA PROVINCIA DE YUNGAY DEL DEPARTAMENTO DE ANCASH,Poblacional,5 368.00,Manantial Escalon puquio,RA 063-2024 ANA-AAA.HCH-ALA.CHUARMEY,09/08/2024,Huarmey Chicama,Casma Huarmey,Cuenca Casma,Yungay,Quillo
41272,MUNICIPALIDAD DISTRITAL DE QUILLO,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL AÑEXO DE PAÑOPAMPA DEL CASERIO DEL DE CANCHIRAO DISTRITO DE QUILLO DE LA PROVINCIA DE YUNG,Poblacional,6 622.53,Manantial LUCMA YACU,RA 0101-2026 ANA-AAA.HCH-ALA.CHUARMEY,07/05/2026,Huarmey Chicama,Casma Huarmey,Cuenca Casma,Yungay,Quillo
41273,MUNICIPALIDAD DISTRITAL DE QUILLO,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL AÑEXO DE PAÑOPAMPA DEL CASERIO DEL DE CANCHIRAO DISTRITO DE QUILLO DE LA PROVINCIA DE YUNG,Poblacional,5 991.87,Manantial LAURIL PAMPA,RA 0101-2026 ANA-AAA.HCH-ALA.CHUARMEY,07/05/2026,Huarmey Chicama,Casma Huarmey,Cuenca Casma,Yungay,Quillo
41274,MUNICIPALIDAD DISTRITAL DE YAUTAN,CREACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICION SANITARIA DE EXCRETAS EN EL PUEBLO JOVEN SHUPTAC DISTRITO DE YAUTAN DE LA PROVINCIA DE CASMA DEL DEPARTAMENTO DE ANCASH,Poblacional,7 568.67,Manantial El Zorro,RA 0015-2025 -ANA-AAA.HCH-ALA.CHUARMEY,04/02/2026,Huarmey Chicama,Casma Huarmey,Cuenca Casma,Casma,Yautan
41275,MUNICIPALIDAD DISTRITAL DE PARIACOTO,"""MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL EN EL CASERIO DE TANIN DISTRITO DE PARIACOTO DE LA PROVINCIA DE HUARAZ DEL DEPARTAMENTO DE ANCASH"".",Poblacional,9 460.80,Manantial Pachucuta,RA 0031-2025 -ANA-AAA.HCH-ALA.CHUARMEY,05/03/2025,Huarmey Chicama,Casma Huarmey,Cuenca Casma,Huaraz,Pariacoto
41276,MUNICIPALIDAD DISTRITAL DE ACO,MEJORAMIENTO DEL SERVICIO DE PROVISION DE AGUA PARA RIEGO EN LOS SECTORES DE CONTADERA Y YANAURAN EN EL CASERIO DE SAN ISIDRO DISTRITO DE ACO DE LA PROVINCIA DE CORONGO DEL DEPARTAMENTO DE ANCASH,Agrícola,73 610.00,Manantial Paccha Grande,RA 392-2025 ANA-AAA.HCH-ALA.HZ,08/09/2025,Huarmey Chicama,Huaraz,Cuenca Santa,Corongo,Aco
41277,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO - JASS PORTUGAL,"Mejoramiento y Ampliación del Servicio de Agua Potable y Disposición Sanitaria de Excretas en el Barrio de Union Bellavista, caserío de Tambo, San Lorenzo y el Barrio Portugal, Distrito de Santo Toribio de la Provincia de Huaylas del Departamento de A",Poblacional,2 464.23,Manantial URPEPUQUIO,RA 0060-2024  ANA-AAA.HCH-ALA.HZ,10/08/2024,Huarmey Chicama,Huaraz,Cuenca Santa,Huaylas,Santo Toribio
41278,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO - JASS PORTUGAL,"Mejoramiento y Ampliación del Servicio de Agua Potable y Disposición Sanitaria de Excretas en el Barrio de Union Bellavista, caserío de Tambo, San Lorenzo y el Barrio Portugal, Distrito de Santo Toribio de la Provincia de Huaylas del Departamento de A",Poblacional,2 754.36,Manantial AMPIT,RA 0060-2024  ANA-AAA.HCH-ALA.HZ,10/08/2024,Huarmey Chicama,Huaraz,Cuenca Santa,Huaylas,Santo Toribio
