ID_registro,Titular,Clase de derecho,Tipo de uso,Fuente de agua,Descripción,Resolución,Fecha de resolución,Autoridad Administrativa del Agua,Administración Local de Agua,Unidad hidrográfica,Provincia,Distrito
41381,Oscar Anthony Lurita Huayamares,Licencia,Agrícola,Río PATIVILCA,,,,Cañete Fortaleza,Barranca,Intercuenca 137579,Declarada: Barranca,Declarado: Pativilca
41382,Aquilina Chavez Ugarte,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41383,Cesar Alejandro Varamendi Mejia,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41384,Carmen Julia Veramendi Mejia,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41385,"DOROTEO REQUENA, LUIS APARICIO",Licencia,Agrícola,Quebrada GUERRO RAGRA,"JUNTA DE USUARIOS DE AGUA DEL SECTOR HIDRAULICO DE LA CUENCA DEL RIO PATIVILCA - DOROTEO REQUENA, LUIS APARICIO",,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Cajatambo,Declarado: Manas
41386,Hercilio Gil Garcia Tamayo,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41387,RIOS ALARCON ANTONIA,Licencia,Agrícola,Río PATIVILCA,"Administración Provisional del Sector Hidráulico Menor Pativilca Clase A, de la Junta de Usuarios del Valle de Pativilca del Distrito de Riego Barranca",,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Barranca
41388,Zoila Vargas Vda. de Cabello,Licencia,Agrícola,Río PATIVILCA,Junta de Usuarios del Sector Hidráulico Menor Pativilca Clase A,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Supe
41389,MUNICIPALIDAD DISTRITAL DE COCHAS,Licencia,Poblacional,Quebrada HUANCHAY(RIO GRANDE OCROS),MUNICIPALIDAD DISTRITAL DE COCHAS,1077 2021-ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Cochas
41390,COMUNIDAD CAMPESINA  SANTO DOMINGO DE OCROS,Licencia,Agrícola,Manantial RACRAC TARA,COMUNIDAD CAMPESINA  SANTO DOMINGO DE OCROS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Ocros
41391,Eduardo Nonaka Tarazona,Licencia,Agrícola,Río PATIVILCA,,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Cochas
41392,MUNICIPALIDAD DISTRITAL DE COCHAS,Licencia,Poblacional,Río PATIVILCA,MUNICIPALIDAD DISTRITAL DE COCHAS,1078 2021-ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Cochas
41393,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS  DEL CENTRO POBLADO CUSPÓN,Licencia,Poblacional,Manantial CUSPÓN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS  DEL CENTRO POBLADO CUSPÓN,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
