ID_registro;archivo_origen;Código;Num Informe;AAA;ALA;Unidad Hidrográfica;Zona;Coo. Este;Coo. Norte;Fecha Inicio de Identificación;Fecha Fin de Identificación;Departamento;Provincia;Distrito;Tipo Fuente Contaminante;Naturaleza FC;Cuerpo Agua;Caudal (l/s);Volumen (m³)
33309;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_07;006-2014;Huarmey Chicama;Casma Huarmey;Cuenca Casma;17;829183;8947049;08/05/2014;08/05/2014;ANCASH;CASMA;YAUTAN;Municipales;Aguas Residuales;Río Casma;0.0;0.0
33310;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_04;006-2014;Huarmey Chicama;Casma Huarmey;Cuenca Casma;18;185680;8948853;07/05/2014;07/05/2014;ANCASH;HUARAZ;COCHABAMBA;Municipales;Aguas Residuales;Otros Quebrada Huille Capchu Huaiin;0.0;0.0
33311;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_05;044-2013;Huarmey Chicama;Casma Huarmey;Cuenca Casma;18;185394;8948345;04/07/2013;04/07/2013;ANCASH;HUARAZ;COCHABAMBA;Municipales;Aguas Residuales;Río  Acrun;3.0;0.0
33312;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_DO_01;044-2013;Huarmey Chicama;Casma Huarmey;Cuenca Casma;18;195240;8944600;02/07/2013;02/07/2013;ANCASH;HUARAZ;PARIACOTO;Domésticas;Aguas Residuales;Río Chacchan;1.0;0.0
33313;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_03;044-2013;Huarmey Chicama;Casma Huarmey;Cuenca Casma;18;190948;8943243;02/07/2013;02/07/2013;ANCASH;HUARAZ;PARIACOTO;Municipales;Aguas Residuales;Río Chacchan;1.0;0.0
33314;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_06;006-2014;Huarmey Chicama;Casma Huarmey;Cuenca Casma;18;181725;8941822;08/05/2014;08/05/2014;ANCASH;HUARAZ;PARIACOTO;Municipales;Aguas Residuales;Río Chacchan;0.0;0.0
33315;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_01;006-2014;Huarmey Chicama;Casma Huarmey;Cuenca Casma;18;208230;8942745;02/04/2014;02/04/2014;ANCASH;HUARAZ;PIRA;Municipales;Aguas Residuales;Quebrada Tinco;0.0;0.0
33316;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_02;044-2013;Huarmey Chicama;Casma Huarmey;Cuenca Casma;18;205082;8942007;25/06/2013;25/06/2013;ANCASH;HUARAZ;PIRA;Municipales;Aguas Residuales;Quebrada Yupanca;0.0;0.0
33317;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_DO_03;006-2014;Huarmey Chicama;Casma Huarmey;Cuenca Casma;17;797284;8951066;09/05/2014;09/05/2014;ANCASH;CASMA;CASMA;Domésticas;Aguas Residuales;Río Casma;0.0;0.0
33318;Fuentes contaminantes_Cuenca Casma 137596.xlsx;137596_AR_MU_10;044-2013;Huarmey Chicama;Casma Huarmey;Cuenca Casma;17;806887;8955953;12/06/2013;12/06/2013;ANCASH;CASMA;BUENA VISTA ALTA;Municipales;Aguas Residuales;Otros Quebrada no Nominada;3.0;0.0
