ID_registro;X;Y;N°;Fuente;ALA;UNIDAD_HID;PFAFSTETTE;TIPO_RH;NOMBRE_RIO;CÓDIGO_FI;DESCRIPCIO;DEPARTAMEN;PROVINCIA;DISTRITO;ZONA;ESTE;NORTE;ALTITUD_m_;CLASIFICAC;As_ppm;Cd_ppm;Pb_ppm;Hg_ppm
33350;-77.8875720282696;-9.56221595304343;1.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Quebrada;Vinchota;QVinc1;;ANCASH;HUARAZ;PAMPAS GRANDE;18.000000;182993.000000;8941662.000000;1234.000000;Categoría 3;0.00700000000;0.00018000000;0.00100000000;0.00010000000
33351;-77.6650766003562;-9.53092522854375;2.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Quebrada;Yupanca;QYupa1;;ANCASH;HUARAZ;PIRA;18.000000;207410.000000;8945322.000000;3826.000000;Categoría 3;0.00343000000;0.00034000000;0.00096000000;0.00008000000
33352;-77.6912962571201;-9.58253216272681;3.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Quebrada;Pishan;QPish1;;ANCASH;HUARAZ;PIRA;18.000000;204574.000000;8939588.000000;3601.000000;Categoría 3;0.00393000000;0.00034000000;0.00118000000;0.00008000000
33353;-77.7300821148092;-9.63429760297816;4.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Río;Vado;RVado1;;ANCASH;HUARAZ;LA LIBERTAD;18.000000;200359.000000;8933825.000000;3195.000000;Categoría 3;0.00348000000;0.00034000000;0.00056000000;0.00008000000
33354;-77.7281056761141;-9.59788398917349;5.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Quebrada;Rahuar;QRahu1;;ANCASH;HUARAZ;PIRA;18.000000;200544.000000;8937857.000000;3878.000000;Categoría 3;0.00350000000;0.00044000000;0.00082000000;0.00008000000
33355;-77.7308736264155;-9.59566664197344;6.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Quebrada;Rahuar;QRahu2;;ANCASH;HUARAZ;PIRA;18.000000;200238.000000;8938100.000000;3726.000000;Categoría 3;0.22393000000;0.03956000000;0.63128000000;0.00008000000
33356;-77.7346687192678;-9.59326046860734;7.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Quebrada;Rahuar;QRahu3;;ANCASH;HUARAZ;PIRA;18.000000;199819.000000;8938363.000000;3520.000000;Categoría 3;0.52850000000;0.03661000000;0.32095000000;0.00008000000
33357;-77.7637199992487;-9.57894449339843;8.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Quebrada;Rahuar;QRahu4;;ANCASH;HUARAZ;PIRA;18.000000;196615.000000;8939922.000000;2491.000000;Categoría 3;0.00658000000;0.00045000000;0.00072000000;0.00008000000
33358;-77.7654247934826;-9.57813583604892;9.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Río;Vado;RVado2;;ANCASH;HUARAZ;PIRA;18.000000;196427.000000;8940010.000000;2421.000000;Categoría 3;0.00397000000;0.00034000000;0.00056000000;0.00008000000
33359;-77.9999795300049;-9.51227678044995;10.000000;ANA;Casma Huarmey;Cuenca Casma;137596;Río;Yaután;RYaut2;;ANCASH;CASMA;YAUTAN;18.000000;170594.000000;8947085.000000;780.000000;Categoría 3;0.00390000000;0.00034000000;0.00180000000;0.00008000000
