ID_registro,Código ANA,Año de identificación,Intervención propuesta,Sector,Río o quebrada,Cuerpo de agua,Unidad hidrográfica declarada,Provincia,Distrito,Familias declaradas,Viviendas declaradas,Longitud de intervención,Presupuesto estimado (S/),Observación,Infraestructura afectada,Autoridad Administrativa del Agua,Administración Local de Agua
40994,2016-633,2016,"DESCOLMATACION Y PROTECCION DE LA MARGEN IZQUIERDA DEL CAUCE DEL RIO LOCO, SECTOR HUARCOS-VINCHAMARCA-VIRAHUANCA-TOMEQUE",MACASH-PAREDONES,,,,Santa,Moro,50,10,,,"VIVIENDAS DE MATERIAL NOBLE Y RUSTICO, CENTRO EDUCATIVO  DE ADOBE, CANAL RUSTICO Y TROCHA DE AFIRMADO",CANAL RUSTICO VINCHAMARCA,04,0403
40995,2016-634,2016,DESCOLMATACION Y ENCAUZAMIENTO RIO NEPEÑA SECTOR SAN JACINTO,SAN JACINTO,,,,Santa,Nepeña,100,10,,,"VIVIENDAS DE MATERIAL NOBLE Y RUSTICO, CENTRO EDUCATIVO  DE ADOBE, NOBLE, CANAL RUSTICO Y CARRETERA DE AFIRMADO",CANAL CERRO BLANCO,04,0403
40996,2016-635,2016,"DESCOLMATACION Y PROTECCION DE LA MARGEN IZQUIERDA DEL CAUCE DEL RIO GRANDE, SECTOR MACRACANCHA-CAPTUY BAJO",MACRACANCHA-CAPTUY BAJO,,,,Santa,Moro,200,20,,,"VIVIENDAS DE ABODE Y LADRILLO, CENTRO EDUCATIVO DE ADOBE Y LADRILLO, INFRAESTRUCTURA ES RUSTICA Y VIA DE INGRESO ES ASFALTADA",TOMA RUSTICA,04,0403
40997,2016-636,2016,DESCOLMATACION Y ENCAUZAMIENTO RIO NEPEÑA SECTOR CERRO BLANCO,CERRO BLANCO,,,,Santa,Nepeña,100,20,,,"VIVIENDAS DE ABODE Y RUSTICO, CENTRO EDUCATIVO DE ADOBE Y NOBLE, INFRAESTRUCTURA NOBLE Y CARRETERA RUSTICO",CANAL PAÑAMARCA DE 1 KM,04,0403
40998,2016-637,2016,PROTECCIÓN AMBAS MARGENES DEL CAUCE DEL RÍO SECHIN - SECTOR BELEN,BELEN,,,,Casma,Buena Vista Alta,70,5,,,7 KM DE CANAL,POZOS,04,0401
40999,2016-638,2016,PROTECCIÓN DE AMBAS MARGENES RÍO SECHIN - SECTOR LA HOYADA,LA HOYADA,,,,Casma,Buena Vista Alta,40,10,,,3 KILOMETROS DE CANAL,POZOS,04,0401
41000,2016-639,2016,PROTECCIÓN AMBAS MARGENES CAUCE DEL RÍO SECHIN - SECTOR PUENTE HUANCHUY - POYOR - OLIVAR,PUENTE HUANCHUY - POYOR - OLIVAR,,,,Casma,Buena Vista Alta,40,10,,,6 KM DE CANAL,POZOS,04,0401
41001,2016-640,2016,PROTECCIÓN MARGEN DERECHA DEL RÍO SECHIN - SECTOR SAN ISAIAS - CUNCAN,SAN ISAIAS - CUNCAN,,,,Casma,Casma,120,15,,,9 KM DE CANAL,POZOS,04,0401
41002,2016-641,2016,ENCAUZAMIENTO DEL RÍO SECHIN - SECTOR TUCUSHUANCA - LA CAPELLANIA,TUCUSHUANCA LA CAPELLANIA,,,,Casma,Buena Vista Alta,20,5,,,2 KM DE CANAL,CANAL DE RIEGO,04,0401
41003,2016-642,2016,PROTECCIÓN DE LA MARGEN IZQUIERDA CAUCE DEL RÍO SECHIN - SECTOR VIÑA - HUANCHUY,VIÑA - HUANCHUY,,,,Casma,Buena Vista Alta,40,5,,,6 KM DE CANAL,POZOS,04,0401
41004,2016-643,2016,PROTECCIÓN AMBAS MARGENES DEL RÍO SECHIN - SECTOR YANACACA CHICA,YANACACA CHICA,,,,Casma,Buena Vista Alta,15,5,,,3 KM DE CANAL,POZOS,04,0401
41005,2016-644,2016,PROTECCIÓN DE AMBAS MARGENES DEL RÍO CASMA - SECTOR CIRHUELAR,CIRHUELAR,,,,Casma,Casma,20,5,,,6 KM DE CANAL,POZOS,04,0401
41006,2016-645,2016,PROTECCIÓN AMBAS MARGENES DEL RÍO CASMA - SECTOR LA BOCANA,LA BOCANA,,,,Casma,Comandante Noel,60,5,,,3 KM DE CANAL,POZOS,04,0401
41007,2016-646,2016,PROTECCIÓN MARGEN DERECHA DEL RÍO CASMA - SECTOR SAN MIGUEL,SAN MIGUEL,,,,Casma,Comandante Noel,200,10,,,,POZOS,04,0401
41008,2016-647,2016,PROTECCIÓN MARGEN DERECHA DEL RÍO CASMA - SECTOR TABON ALTO,TABON ALTO,,,,Casma,Casma,30,5,,,,POZOS,04,0401
41009,2016-648,2016,PROTECCIÓN MARGEN DERECHA DEL RÍO CASMA - SECTOR TABON BAJO,TABON BAJO,,,,Casma,Casma,200,10,,,12 KM DE CANAL,POZOS,04,0401
41010,2016-649,2016,PROTECCIÓN AMBAS MARGENES CUCHIPURO RÍO YAUTAN - SECTOR CUCHIPURO,CUCHIPURO,,,,Casma,Yautan,20,5,,,03 KM DE CANAL,PUENTE,04,0401
41011,2016-650,2016,PROTECCIÓN MARGEN DERECHA DEL RÍO GRANDE - SECTOR CALAVERA GRANDE,CALAVERA GRANDE,,,,Casma,Casma,90,10,,,8 KM  DE CANAL,POZOS,04,0401
41012,2016-651,2016,PROTECCIÓN DEL RÍO GRANDE - SECTOR CARRIZAL,CARRIZAL,,,,Casma,Casma,20,5,,,3 KM DE CANAL,POZOS,04,0401
41013,2016-652,2016,PROTECCIÓN MARGEN DERECHA DEL RÍO GRANDE - SECTOR PUQUIO GRANDE,PUQUIO GRANDE,,,,Casma,Casma,60,10,,,8 KM DE CANAL,POZOS,04,0401
41014,2016-653,2016,PROTECCIÓN AMBAS MARGENES DEL RÍO GRANDE - SECTOR SAN PEDRO ALTO,SAN PEDRO ALTO,,,,Casma,Casma,50,5,,,6 KM DE CANAL,POZOS,04,0401
41015,2016-739,2016,"DESCOLMATACION Y REHABILITACION DE LA DEFENSA RIBEREÑA CON GAVIONES Y ENROCADO DEL RÍO SANTA, ENTRE EL PUENTE SHUPLUY Y EL SECTOR PALLSHA",SHUPLUY,,,,Yungay,Shupluy,100,10,,,"VIVIENDAS: 90% ADOBE Y 10% MATERIUAL NOBLE, PUESTOS DE SALUD Y CE MATERIAL NOBLE, CALLE DE CONCRETO Y 2 PUENTES DE CONCRETO",CANALES CHIRIMOYA Y PURUSH TOMA,04,0402
