ID_registro;archivo_origen;AAA;ALA;UNIDAD HIDROGRÁFICA;PFAFSTETTER;TIPO DEL RECURSO HÍDRICO;NOMBRE DEL RECURSO HÍDRICO;CÓDIGO FINAL;DESCRIPCION;DEPARTAMENTO;PROVINCIA;DISTRITO;ZONA;ESTE;NORTE;ALTITUD m.s.n.m.;CLASIFICACÍON DE CUERPOS DE AGUA
33715;Red Monitoreo_Cuenca Lacramarca_OK.xls;Huarmey Chicama;Santa Lacramarca Nepeña;Cuenca Lacramarca;1375992;Quebrada;Huarón;QHuar2;"Quebrada Huarón, aguas abajo del Centro Poblado Santa Ana, y 400 m. aproximadamente, antes de confluencia con la Quebrada Agua Berruga.
";ANCASH;SANTA;MACATE;17;805607;9016365;1395;Categoría 3
33716;Red Monitoreo_Cuenca Lacramarca_OK.xls;Huarmey Chicama;Santa Lacramarca Nepeña;Cuenca Lacramarca;1375992;Otros;Quebrada Lupahuari;QLupa1;"Quebrada Lupahuari, 450 m, aproximadamente. antes de confluencia con la Quebrada Shoncazul.
";ANCASH;SANTA;CHIMBOTE;17;802932;9021632;1169;Categoría 1 A2
33717;Red Monitoreo_Cuenca Lacramarca_OK.xls;Huarmey Chicama;Santa Lacramarca Nepeña;Cuenca Lacramarca;1375992;Río;LACRAMARCA;RLacr1;"Rio Lacramarca, inicio de la zona agrícola (Altura de compuerta de palos).
";ANCASH;SANTA;CHIMBOTE;17;775306;9006247;112;Categoría 3
33718;Red Monitoreo_Cuenca Lacramarca_OK.xls;Huarmey Chicama;Santa Lacramarca Nepeña;Cuenca Lacramarca;1375992;Río;LACRAMARCA;RLacr2;"Rio Lacramarca, aguas abajo del Centro Poblado Santa Clemencia  a  800 m.  aproximadamente aguas abajo de la Estación Hidrológica Automática, Santa Clemencia.
";ANCASH;SANTA;CHIMBOTE;17;770492;9003862;77;Categoría 3
33719;Red Monitoreo_Cuenca Lacramarca_OK.xls;Huarmey Chicama;Santa Lacramarca Nepeña;Cuenca Lacramarca;1375992;Río;LACRAMARCA;RLacr3;"Rio Lacramarca, próximo a zona urbana del distrito de Chimbote.
";ANCASH;SANTA;CHIMBOTE;17;768788;8995322;22;Categoría 3
33720;Red Monitoreo_Cuenca Lacramarca_OK.xls;Huarmey Chicama;Santa Lacramarca Nepeña;Cuenca Lacramarca;1375992;Quebrada;Huarón;QHuar1;"Quebrada Huarón, 40 m. aproximadamente. altura de vía de comunicación al Centro Poblado de Huasquil.
";ANCASH;SANTA;CACERES DEL PERU;17;814848;9018862;2651;Categoría 3
33721;Red Monitoreo_cuenca Huarmey_OK.xls;Huarmey Chicama;Casma Huarmey;Cuenca Huarmey;137594;Otros;Quebrada Hércules;QHerc2;"Quebrada Hércules, altura torre de alta tensión, área de operaciones Compañía Minera Huancapetí SAC. 
";ANCASH;AIJA;AIJA;18;220884;8920366;4310;Categoría 1 A2
33722;Red Monitoreo_cuenca Huarmey_OK.xls;Huarmey Chicama;Casma Huarmey;Cuenca Huarmey;137594;Otros;Quebrada Hércules;QHerc3;"Quebrada Hércules, 100 m. aproximadamente aguas arriba de la confluencia con las aguas de la quebrada Pallca, altura canal de concreto para regadío.
";ANCASH;AIJA;AIJA;18;218392;8918718;3896;Categoría 1 A2
33723;Red Monitoreo_cuenca Huarmey_OK.xls;Huarmey Chicama;Casma Huarmey;Cuenca Huarmey;137594;Otros;Quebrada Huayhuash;QHuay1;"Quebrada Huayhuash, 10 m. aproximadamente a la salida de la Laguna Santa Rosa.
";ANCASH;AIJA;AIJA;18;220335;8919291;4306;Categoría 1 A2
33724;Red Monitoreo_cuenca Huarmey_OK.xls;Huarmey Chicama;Casma Huarmey;Cuenca Huarmey;137594;Laguna Natural;Jarancocha;LJara1;"Laguna Jarancocha, a la salida del canal de rebose.
";ANCASH;AIJA;AIJA;18;221376;8916812;4329;Categoría 4
