ID_registro;X;Y;UBIGEO;DEP;PROV;DIST;CODCP;NOMCP;MNOMCP;CAPITAL;CON_IE;NIVEL;CPINEI;CPINEI2;FUENTE_INE;FUENTE_G;Z;XGD;YGD;Y_X_COORD;NOMBRE
34197;-78.5935723399316;-9.07454175999717;021801;ANCASH;SANTA;CHIMBOTE;117876;Chimbote;CHIMBOTE;2;1;GIPSKLED;0218010001;;INEI17;IMG_SATELITAL;10;-78.59357234000;-9.07454176000;-9.07454175999993-78.59357234;Intercuenca 1375999
34198;-78.6151393899282;-9.02291393999709;021803;ANCASH;SANTA;COISHCO;131658;Coishco;COISHCO;3;1;GIPSD;0218030001;;INEI17;MED-GPS;20;-78.61513939000;-9.02291394000;-9.02291393999997-78.61513939;Intercuenca 1375999
34199;-77.4913371399952;-9.81195739999977;021710;ANCASH;RECUAY;TICAPAMPA;517494;Rampac;RAMPAC;0;0;;0217100018;;INEI17;IGN;4484;-77.49133714000;-9.81195740000;-9.81195739999993-77.49133714;Cuenca Santa
34200;-77.5040727379948;-9.51363277799978;020105;ANCASH;HUARAZ;INDEPENDENCIA;124291;Marian;MARIAN;0;1;GIPS;0201050064;;INEI13;MED-GPS;3284;-77.50407273800;-9.51363277800;-9.51363277799993-77.5040727379999;Cuenca Santa
34201;-77.5405838709943;-9.48273194799981;020105;ANCASH;HUARAZ;INDEPENDENCIA;613070;Santa Casa;SANTA CASA;0;1;I;0201050025;;INEI17;MED-GPS;3003;-77.54058387100;-9.48273194800;-9.48273194799998-77.540583871;Cuenca Santa
34202;-77.5257990759945;-9.5285589689998;020101;ANCASH;HUARAZ;HUARAZ;560985;San Francisco;SAN FRANCISCO;0;1;IPSD;;;;MED-GPS;3065;-77.52579907600;-9.52855896900;-9.52855896899996-77.5257990759999;Cuenca Santa
34203;-77.6462965399922;-9.28176453999969;020601;ANCASH;CARHUAZ;CARHUAZ;116022;Carhuaz;CARHUAZ;2;1;IPSKED;0206010001;;INEI17;MED-GPS;2640;-77.64629654000;-9.28176454000;-9.28176453999993-77.64629654;Cuenca Santa
34204;-77.5597029899939;-9.50562468999975;020105;ANCASH;HUARAZ;INDEPENDENCIA;620941;Santa Rosa de Pacuash;SANTA ROSA DE PACUASH;0;0;;0201050044;;INEI17;MED-GPS;3431;-77.55970299000;-9.50562469000;-9.50562468999993-77.5597029899999;Cuenca Santa
34205;-77.8618050399859;-8.81831050999952;021202;ANCASH;HUAYLAS;HUALLANCA;116202;Huallanca;HUALLANCA;3;1;IPS;0212020001;;INEI17;MED-GPS;1394;-77.86180504000;-8.81831051000;-8.81831050999995-77.86180504;Cuenca Santa
34206;-77.7771325299887;-8.9286002699996;021208;ANCASH;HUAYLAS;SANTA CRUZ;226317;Pomabamba;POMABAMBA;0;0;;0212080058;;INEI17;IGN;3634;-77.77713253000;-8.92860027000;-8.92860026999995-77.77713253;Cuenca Santa
34207;-77.7629387999893;-9.1213425299996;022001;ANCASH;YUNGAY;YUNGAY;127049;Huanchuy;HUANCHUY;0;0;;0220010029;;INEI17;IMG_SATELITAL;2358;-77.76293880000;-9.12134253000;-9.12134252999994-77.7629388;Cuenca Santa
34208;-78.236178989966;-8.6546706299988;021801;ANCASH;SANTA;CHIMBOTE;125233;Chuquicara;CHUQUICARA;0;1;GP;0218040002;;INEI17;MED-GPS;505;-78.23617899000;-8.65467063000;-8.65467062999994-78.23617899;Cuenca Santa
34209;-77.807454689987;-8.17529439999958;021509;ANCASH;PALLASCA;PAMPAS;219801;Pelagatos;PELAGATOS;0;1;GP;0215090026;;INEI17;MED-GPS;3975;-77.80745469000;-8.17529440000;-8.17529439999993-77.80745469;Cuenca Santa
34210;-77.8497342099855;-8.17522890999953;021509;ANCASH;PALLASCA;PAMPAS;530088;Conzuso;CONZUSO;0;1;I;0215090029;;INEI17;MED-GPS;3674;-77.84973421000;-8.17522891000;-8.17522890999993-77.84973421;Cuenca Santa
34211;-78.5805194099332;-9.06697143999729;021801;ANCASH;SANTA;CHIMBOTE;130442;San Francisco;SAN FRANCISCO;0;1;GP;;;;MED-GPS;17;-78.58051941000;-9.06697144000;-9.06697143999997-78.58051941;Cuenca Lacramarca
34212;-78.0274654999798;-9.19909266999927;021206;ANCASH;HUAYLAS;PAMPAROMAS;525925;Huanchuy;HUANCHUY;0;1;IP;0212060072;;INEI17;MED-GPS;1820;-78.02746550000;-9.19909267000;-9.19909266999997-78.0274654999999;Cuenca Nepeña
34213;-78.0696316669772;-8.98648166699919;021802;ANCASH;SANTA;CACERES DEL PERU;667151;Huanchuy;HUANCHUY;0;0;;0218020130;;INEI17;INEI;1887;-78.06963166700;-8.98648166700;-8.98648166699996-78.069631667;Cuenca Nepeña
34214;-77.912323229985;-9.46248837999945;020102;ANCASH;HUARAZ;COCHABAMBA;131764;Huanchuy;HUANCHUY;0;1;GP;0201020037;;INEI17;MED-GPS;1671;-77.91232323000;-9.46248838000;-9.46248837999997-77.91232323;Cuenca Casma
34215;-78.1526651999735;-9.36026835999898;020802;ANCASH;CASMA;BUENA VISTA ALTA;223793;Huanchuy;HUANCHUY;0;1;IPS;0208020002;;INEI17;MED-GPS;497;-78.15266520000;-9.36026836000;-9.36026835999996-78.1526651999999;Cuenca Casma
