ID_registro;X;Y;OBJECTID_1;Join_Count;TARGET_FID;Id;OBJECTID;CODIGOU;FEC_DENU;CONCESION;TIT_CONCES;D_ESTADO;CARTA;ZONA;LEYENDA;SUSTANCIA;DEPA;PROVI;DISTRI;HASDATUM;SHAPE_Leng;NOMBRE
34240;-78.178135023364;-10.1015861837985;10;1;9;0;309;P0103988A;1999/05/04;HUINCUSH;COMPAÑIA MINERA ANTAMINA S.A.;Planta de Beneficio;21-G;17;OTROS;M;/  ANCASH;MAR /  HUARMEY;MAR /  HUARMEY;14.78850000000;1558.34710719000;Intercuenca 137593
34241;-77.8902571903805;-10.4419616669865;11;1;10;0;11989;P520000110;2010/10/20;PLANTA BACO;MRC 1 EXPLORACIONES E.I.R.L.;Planta de Beneficio;21-H;18;OTROS;M;ANCASH;HUARMEY;HUARMEY;3.68950000000;769.31328454000;Intercuenca 137593
34242;-77.8968793782854;-10.4815727836186;12;1;11;0;21489;P020000818;2018/08/15;PLNTA DE BENEFICIO DE MINERALES GESAC;GERMAN ENGINEERING & CIE S.A.C.;Planta de Beneficio;21-H;18;OTROS;M;ANCASH;HUARMEY;HUARMEY;10.00000000000;1400.00000000000;Intercuenca 137593
34243;-77.8612105036794;-10.5908101855806;13;1;12;0;37467;P150000321;2021/12/13;PLANTA ESTATICA DE MINERALES PALTARUMI;PALTARUMI SOCIEDAD ANONIMA CERRADA;Planta de Beneficio;22-H;18;OTROS;M;ANCASH /  LIMA;HUARMEY /  BARRANCA;PARAMONGA /  HUARMEY;44.17160000000;2818.75300123000;Intercuenca 137593
34244;-78.2111174084905;-9.73218403298314;7;1;6;0;5163;P020000318;2018/10/27;PLANTA DE BENEFICIO ALDEBARAN;BOREAL INGENIEROS S.A.C.;Planta de Beneficio;20-G;17;OTROS;M;ANCASH;CASMA;CASMA;24.52460000000;2358.68045890000;Intercuenca 1375959
34245;-78.1780358723558;-9.81777143305984;8;1;7;0;6677;P020000418;2018/11/07;PLANTA DE BENEFICIO GOOD DAY;COMPAÑIA MINERA SOL DE CASMA S.A.C.;Planta de Beneficio;20-G;17;OTROS;M;ANCASH;HUARMEY;CULEBRAS;13.65520000000;1567.76493232000;Intercuenca 1375959
34246;-78.4681274948095;-9.20172592290306;1;1;0;0;1263;P020000918;2018/11/05;PLANTA DE BENEFICIO EL MIRADOR;M & S TRANSPORTES Y SERVICIOS GENERALES S.A.C.;Planta de Beneficio;19-G;17;OTROS;M;ANCASH;SANTA;SAMANCO;11.29580000000;1928.74438852000;Intercuenca 1375991
34247;-77.2476980863485;-10.0872877958099;14;1;13;0;9779;P0100485;1998/11/20;CONCENTRADORA CONOCOCHA;CORPORACION MINERA SACRACANCHA S.A.C.;Planta de Beneficio;21-I;18;OTROS;M;ANCASH;RECUAY;CATAC;35.00000000000;2400.00000017000;Cuenca Santa
34248;-77.5901953064459;-9.46103655615756;22;1;21;0;24313;P0103986;2002/09/03;MISQUICHILCA;MINERA BARRICK PERU S.A.;Planta de Beneficio;19-H;18;OTROS;M;ANCASH;HUARAZ;INDEPENDENCIA /  JANGAS;1350.00000000000;14892.94425810000;Cuenca Santa
34249;-77.4183209427398;-9.73192899745711;23;1;22;0;32806;P020000220;2020/10/14;PLANTA DE BENEFICIO LA CHURRA;EUROMIN PERU S.A.C;Planta de Beneficio;20-I;18;OTROS;M;ANCASH;RECUAY;RECUAY;54.93920000000;4140.92255283000;Cuenca Santa
34250;-77.4075840148331;-9.76325573232662;24;2;23;0;12238;P020000116;2016/07/06;PLANTA CONCENTRADORA DE MINERALES GREENEX;GREENEX S.A.C.;Planta de Beneficio;20-I;18;OTROS;M;ANCASH;RECUAY;TICAPAMPA;11.67220000000;1673.14018733000;Cuenca Santa
34251;-77.4125820466032;-9.76643394386041;25;1;24;0;26684;P0000809;2009/10/05;TOMA LA MANO;CORPORACION MINERA TOMA LA MANO S.A.;Planta de Beneficio;20-I;18;OTROS;M;ANCASH;RECUAY;TICAPAMPA;71.19230000000;4785.73687430000;Cuenca Santa
34252;-77.4294338376597;-9.77363931839873;26;1;25;0;15230;P0105991;1975/04/25;QUILCAY Nº 1;MINERA HUINAC S.A.C.;Planta de Beneficio;20-H;18;OTROS;M;ANCASH;RECUAY;TICAPAMPA;28.55500000000;2882.51852688000;Cuenca Santa
34253;-77.498995735804;-9.73796571045418;27;1;26;0;21565;P020000216;2016/12/13;PLANTA DE TRATAMIENTO DE MINERALES SANTA PATRICIA;AC MIXER SOCIEDAD ANONIMA - AC MIXER S.A.;Planta de Beneficio;20-I;18;OTROS;M;ANCASH;RECUAY;RECUAY;70.43990000000;3845.18264463000;Cuenca Santa
34254;-77.5137855221103;-9.73687681082688;28;1;27;0;11824;P0000409;2009/01/03;HUANCAPETI II;MINERA VENARD S.A.C.;Planta de Beneficio;20-H;18;OTROS;M;ANCASH;RECUAY;RECUAY;16.00000000000;1600.00000000000;Cuenca Santa
34255;-77.5269431551448;-9.75484370377065;29;1;28;0;19166;P520000109;2009/01/26;HUANCAPETI 2009;COMPAÑIA MINERA LINCUNA S.A.;Planta de Beneficio;20-H;18;OTROS;M;ANCASH;AIJA /  RECUAY;AIJA /  RECUAY;154.97710000000;5134.36479809000;Cuenca Santa
34256;-77.6540752179068;-9.15791898371755;31;1;30;0;16993;P0100828;1982/12/20;NUEVA CALIFORNIA;COMPAÑIA MINERA NUEVA CALIFORNIA S.A.;Planta de Beneficio;19-H;18;OTROS;M;ANCASH;YUNGAY;YUNGAY;6.00140000000;1000.10179647000;Cuenca Santa
