ID_registro;X;Y;P;Este;Norte;Nombre;Distrito;Provincia;Zona;NOMBRE_2
34273;-78.6204011103264;-9.02746244495817;2.000000;761602.77;9001258.02;LA SORPRESA;Chimbote;Santa;17;Intercuenca 1375999
34274;-77.7045975687467;-9.18445954896364;3.000000;202773.540000;8983634.050000;CALVI I;Yungay;Mancos/ Ranrahirca;18;Cuenca Santa
34275;-77.5803886827757;-9.36141569483047;4.000000;216574.940000;8964151.650000;LA INMACULADA E.N.R.;Pariahuanca;Carhuaz;18;Cuenca Santa
34276;-77.7257027186127;-8.62983936518607;5.000000;200000.000000;9045000.000000;ANGEL ANTONIO 1;Cusca/ San Juan;Corongo/ Sihuas;18;Cuenca Santa
34277;-77.6775042493629;-9.19335202032701;6.000000;205760.440000;8982672.240000;MARCO;Yungay/ mancos/ Ranrahirca;Yungay;18;Cuenca Santa
34278;-77.6721527021424;-9.21575824173021;7.000000;206367.460000;8980196.860000;LA NIEVE;Mancos;Yungay;18;Cuenca Santa
34279;-77.6381677621411;-9.25558709832946;8.000000;210137.070000;8975816.730000;MINA BLANQUITA;Tinco;Carhuaz;18;Cuenca Santa
34280;-77.6686795581052;-9.16374171042497;9.000000;206706.520000;8985956.540000;LA NEGRITA N° 4;Yungay/ Mancos/ Ranrahirca;Yungay;18;Cuenca Santa
34281;-77.6596075997826;-9.24804384523295;10.000000;207773.570000;8976634.020000;YESO SAN MARTIN;Amashca;Carhuaz;18;Cuenca Santa
34282;-77.755809649515;-9.20695381176622;11.000000;197160.540000;8981101.500000;J&E INVERSIONES;Matacoto;Yungay;18;Cuenca Santa
34283;-77.750128539384;-9.19315068078802;13.000000;197773.570000;8982634.040000;LIZANDRO III;Matacoto;Yungay;18;Cuenca Santa
34284;-77.7408973777703;-9.17515063946112;14.000000;198773.550000;8984634.050000;LIZANDRO II;Yungay/ Matacoto;Yungay;18;Cuenca Santa
34285;-77.7319437835621;-9.19328889279133;15.000000;199773.560000;8982634.040000;LIZANDRO I;Matacoto;Yungay;18;Cuenca Santa
34286;-77.6533257980181;-9.24044634987054;16.000000;208458.000000;8977480.000000;YESO SAN MARTIN;Amashca /Shilla;Carhuaz;18;Cuenca Santa
34287;-77.7026128903102;-9.22647446953865;18.000000;203026.920000;8978985.650000;PIONERO 22;Bambas;Corongo;18;Cuenca Santa
34288;-77.5109722444889;-9.39073181244111;21.000000;224227.410000;8960962.680000;MINAS RACRAC A;Tarica;Huaraz;18;Cuenca Santa
34289;-77.1963191037257;-9.97239246693214;25.000000;259217.190000;8896840.410000;PARARRAYO;Aquia;Bolognesi;18;Cuenca Santa
34290;-77.8421257961684;-8.14299272292455;26.000000;186786.000000;9098793.000000;MARIANO DYNACOR;Pampas;Pallasca;18;Cuenca Santa
34291;-77.6530221896933;-9.39021895902262;27.000000;208615.710000;8960904.570000;ANITA  M.LM.;Anta/ Yungar;Carhuaz;18;Cuenca Santa
34292;-77.3874123982447;-9.32634414654814;29.000000;237757.000000;8968182.000000;AREQUIPA M;San Miguel de Aco;Carhuaz;18;Cuenca Santa
34293;-77.3393902055167;-9.33981164500951;35.000000;243044.650000;8966727.160000;GARROSA;Marcara;Carhuaz;18;Cuenca Santa
34294;-77.7640231051501;-8.62383383806209;36.000000;195774.390000;9045634.320000;MINERA JIMENA;Cusca;Corongo;18;Cuenca Santa
34295;-77.9925379412879;-8.82086227823107;40.000000;170774.370000;9023633.380000;PASHPAP 8 2005;Huallanca/ Santo Toribio /Macate;Huaylas/ Huaylas / Santa;18;Cuenca Santa
34296;-77.5691203731386;-9.31195765910448;41.000000;217773.580000;8969634.000000;MINA KADI I;Marcara;Carhuaz;18;Cuenca Santa
34297;-78.0556051562491;-8.50303903664756;17.000000;824196.00;9058856.00;CAMINANTE 2;Santa Rosa/ Tauca;Pallasca;17;Cuenca Santa
34298;-78.0507583062435;-8.66371500284223;17;824593.00;9041066.00;CARBON LA LIMEÑA 2001;Bambas;Corongo;17;Cuenca Santa
34299;-78.0043297324076;-8.6887608815963;39.000000;829686.88;9038253.55;DANZIG;Macate;Santa;17;Cuenca Santa
34300;-77.6877782696925;-9.18258245634792;0.000000;204621.670000;8983855.700000;UEA SAN ROQUE FM SAC;Mancos;Yungay;18;Cuenca Santa
34301;-78.1299837785553;-8.81274224699535;38.000000;815741.65;9024637.86;LA ASUNCION VICTORIA;Macate;Santa;17;Cuenca Lacramarca
34302;-77.7277388047521;-9.59754355008898;28.000000;200584.000000;8937895.000000;UEA SHUNTUR;Pira;Huaraz;18;Cuenca Casma
34303;-77.9166646314475;-9.26243270153716;31.000000;179520.000000;8974820.000000;U.E.A. COPEMINA (C.M. EL EXTRAÑO);Quillo;Yungay;18;Cuenca Casma
34304;-78.1713693000831;-9.32802381748775;37.000000;810741.24;8967637.14;DON ALFONSO # 1;Buena Vista Alta;Casma;17;Cuenca Casma
34305;-77.6746262956317;-9.70819005821688;22.000000;206514.000000;8925695.000000;UEA ADMIRADA ATILA;La Merced;Aija;18;Cuenca Huarmey
34306;-77.6785569638024;-9.69226866193724;23.000000;206068.500000;8927453.720000;AMAPOLA 5;La Merced;Aija;18;Cuenca Huarmey
34307;-77.6072958075159;-9.81228726045118;24.000000;213996.000000;8914232.000000;UEA AIJA;Aija;Aija;18;Cuenca Huarmey
34308;-78.0590734012861;-10.0075275269328;12.000000;822438.63;8892316.08;JM COMERCIAL;Huarmey;Huarmey;17;Cuenca Huarmey
34309;-77.3102578205549;-10.2498239876479;30.000000;246937.240000;8866057.670000;UEA HUARCO (HUARCO I-85);Cajacay;Bolognesi;18;Cuenca Fortaleza
34310;-77.4137220874592;-10.460753903452;32.000000;235774.560000;8842633.280000;OCROS 11;Santiago de Chilcas;Ocros;18;Cuenca Pativilca
34311;-77.395671155059;-10.4880008602683;33.000000;237774.580000;8839633.270000;VIRGEN DE LA MERCED;Santiago de Chilcas;Ocros;18;Cuenca Pativilca
34312;-77.5115539191017;-10.5209761711147;34.000000;225112.000000;8835885.000000;CHICOTE III 2011 / CHICOTE V 2011;San Pedro;Ocros;18;Cuenca Pativilca
34313;-76.9581697342223;-9.89482263449941;20.000000;285285.140000;8905585.570000;VIRGEN DE HUANTUMEY N° 2;Huallanca;Bolognesi;18;Intercuenca Alto Marañón V
