ID_registro;FID;Shape;Prob_DAR;Cordillera;Cuenca;Zona UTM;Departamen;Provincia;Distrito;UNIDAD_geo;TIPO_UNIDA;LITOLOGIA_;Este_m;Norte_m
34373;0;Point;0.777805;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;PAMPAS;Grupo Goyllarisquizga - FormaciÃ³n Carhuaz;Sedimentaria;Arenisca, lutita;186912.93;9105897.24
34374;1;Point;0.756889;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;PAMPAS;DepÃ³sito fluvial;Sedimento;Grava, limoarena;194810.81;9104790.8
34375;2;Point;0.789837;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;PAMPAS;FormaciÃ³n Inca;Sedimentaria;Arenisca, lutita;195192.94;9099610.75
34376;3;Point;0.805636;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;PAMPAS;FormaciÃ³n ChÃºlec;Sedimentaria;Caliza;194894.23;9099344.4
34377;4;Point;0.794238;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;PAMPAS;Grupo Chicama - FormaciÃ³n Sapotal;Sedimentaria;Lutita, arenisca;186314.72;9098997.31
34378;5;Point;0.765081;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CONCHUCOS;FormaciÃ³n ChÃºlec;Sedimentaria;Caliza;189728.63;9091361.65
34379;6;Point;0.759455;Blanca;Cuenca Santa;17;ANCASH;PALLASCA;PALLASCA;Grupo Chicama - FormaciÃ³n Sapotal;Sedimentaria;Lutita, limolita;828653.57;9084434.16
34380;7;Point;0.792745;Blanca;Intercuenca Alto Marañón V;18;ANCASH;PALLASCA;CONCHUCOS;FormaciÃ³n ChÃºlec;Sedimentaria;Caliza mudstone, caliza wackestone,lutita;206121.02;9080232.68
34381;8;Point;0.771963;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CONCHUCOS;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;185565.17;9076338.14
34382;9;Point;0.779747;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;HUANDOVAL;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;182479.63;9074621.1
34383;10;Point;0.80928;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CONCHUCOS;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;192760.65;9073399.25
