ID_registro;X;Y;ID;EUM;TIPO;SUBTIPO;CUENCA;REGIÓN;PROVINCIA;DISTRITO;ESTE;NORTE;ZONA;DATUM;GENERADOR;RESPONSABL;E_AMB;RIESGO;NIVEL_R
35260;-77.5237946973012;-9.75647853814289;216.00000000000;JESUS;LABOR MINERA;BOCAMINA;SANTA;ANCASH;RECUAY;RECUAY;223115.00000000000;8920478.00000000000;18.00000000000;WGS84;NO IDENTIFICADO;COMPAÑIA MINERA LINCUNA S.A.;PCPAM DE LA UNIDAD MINERA LINCUNA UNO;Medio;3
35261;-77.5240973308692;-9.75674738695928;217.00000000000;JESUS;RESIDUO MINERO;DESMONTE DE MINA;SANTA;ANCASH;RECUAY;RECUAY;223082.00000000000;8920448.00000000000;18.00000000000;WGS84;NO IDENTIFICADO;COMPAÑIA MINERA LINCUNA S.A.;PCPAM DE LA UNIDAD MINERA LINCUNA UNO;Medio;3
35262;-76.9646497989037;-9.45525277225717;218.00000000000;JINHUA;RESIDUO MINERO;DESMONTE DE MINA;ALTO MARAÑON;ANCASH;HUARI;HUACHIS;284294.00000000000;8954208.00000000000;18.00000000000;WGS84;NO IDENTIFICADO;---;---;Bajo;2
35263;-77.5512179634306;-9.75705135278507;272.00000000000;QUEBRADA HERCULES;LABOR MINERA;BOCAMINA;HUARMEY;ANCASH;AIJA;AIJA;220105.00000000000;8920392.00000000000;18.00000000000;WGS84;NO IDENTIFICADO;---;---;Alto;4
35264;-77.0816501299998;-9.50225121893219;292.00000000000;CONTONGA;RESIDUO MINERO;RELAVES;ALTO MARAÑON;ANCASH;HUARI;SAN MARCOS;271474.00000000000;8948934.00000000000;18.00000000000;WGS84;NO IDENTIFICADO;NYRSTAR ANCASH S.A.;PCPAM DEL ANTIGUO DEPÓSITO DE RELAVES CONTONGA.;Medio;3
35265;-77.4731587365523;-9.76688071402272;327.00000000000;EL TRIUNFO 1;LABOR MINERA;BOCAMINA;SANTA;ANCASH;RECUAY;TICAPAMPA;228682.00000000000;8919368.00000000000;18.00000000000;WGS84;IDENTIFICADO;COMPAÑIA MINERA LINCUNA S.A.;PCPAM DE LA UNIDAD MINERA LINCUNA DOS;Muy alto;5
35266;-77.2611725205973;-9.3773942351323;336.00000000000;ESPARTA;LABOR MINERA;BOCAMINA;ALTO MARAÑON;ANCASH;HUARI;HUARI;251667.00000000000;8962625.00000000000;18.00000000000;WGS84;IDENTIFICADO;---;---;Muy alto;5
35267;-77.2609727189131;-9.37745877900602;338.00000000000;ESPARTA;RESIDUO MINERO;DESMONTE DE MINA;ALTO MARAÑON;ANCASH;HUARI;HUARI;251689.00000000000;8962618.00000000000;18.00000000000;WGS84;IDENTIFICADO;---;---;Alto;4
35268;-77.7929007712404;-8.19123876568551;342.00000000000;HUACHARA;RESIDUO MINERO;DESMONTE DE MINA;SANTA;ANCASH;PALLASCA;PAMPAS;192252.00000000000;9093491.00000000000;18.00000000000;WGS84;NO IDENTIFICADO;---;---;Bajo;2
35269;-77.1612512143927;-9.86053845046384;432.00000000000;HUARAPASCA;RESIDUO MINERO;DESMONTE DE MINA;PATIVILCA;ANCASH;BOLOGNESI;AQUIA;262983.00000000000;8909241.00000000000;18.00000000000;WGS84;NO IDENTIFICADO;---;---;Medio;3
