ID_registro;N;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;RUC;MUNI_ADMINISTRA;COD_UF;DENOMINACIÓN;ZONA;ESTE;NORTE;PERIMETRO;ÁREA_M2;ÁREA_HA;MUNI_DISPONEN;CANT_DISP;SEGREGA;CRIANZA_ANIM;QUEMA_RRSS;RRSS_SALUD;RRSS_INDU;AGUAJAL;BOFEDAL;PANTANO;AMORTIGUAMIENTO_ANP;ANP;CATEGORIA;AÑO_INCORPORACION;DOCUMENTO_INCORPORACION;DOCUMENTO_ACTUALIZACION;PLAN_RECUPERACION_RECONVERSION
36370;1;10201;Amazonas;Bagua;Bagua;20156003060;MUNICIPALIDAD PROVINCIAL BAGUA;UF0010607;Botadero Sector La Curva - Pasamayito;17;774198.0;9378758.0;609.159897;22690.724607;2.2690724607;Municipalidad distrital de Bagua, Municipalidad distrital de La Peca, Municipalidad distrital de El Parco, Municipalidad distrital de Copallin Y Municipalidad distrital de Aramango;18.64;No;No;No;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.G.G.A. N° 004-2022-MPB-GGARS
36371;2;10205;Amazonas;Bagua;Imaza;20178082141;MUNICIPALIDAD DISTRITAL DE IMAZA;UF0009608;Botadero de Imaza;17;800200.0;9430633.0;74.749361;443.507223;0.044351;Municipalidad distrital de Imaza;6;No;No;No;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36372;3;10306;Amazonas;Bongará;Florida;20165784287;MUNICIPALIDAD DISTRITAL DE FLORIDA;UF0009599;Botadero de Florida;18;170067.0;9352139.0;506.767869;15691.138342;1.569114;Municipalidad distrital de Florida;2.38;No;No;No;Si;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36373;4;10307;Amazonas;Bongará;Jazan;20168006277;MUNICIPALIDAD DISTRITAL DE JAZAN;UF0009641;Botadero Sector Ñull;18;171806.0;9341396.0;218.984762;1451.432952;0.145143;Municipalidad distrital de Jazan, Municipalidad distrital de San Carlos, Municipalidad distrital de Churuja, Municipalidad distrital de Cuispes;1.61;No;No;No;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36374;5;10301;Amazonas;Bongará;Jumbilla;20168772638;MUNICIPALIDAD PROVINCIAL DE BONGARA;UF0010713;Botadero Sector Tayaloma;18;189624.0;9347639.0;621.579952;26315.50826;2.631551;Municipalidad distrital de Bongara, Municipalidad distrital de Chisquilla, Municipalidad distrital de La Recta;1.92;Si;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36375;6;10301;Amazonas;Bongará;Jumbilla;20165783809;MUNICIPALIDAD DISTRITAL DE CHISQUILLA;UF0010284;Botadero S/N;18;189882.0;9347970.0;247.580499;3669.485782;0.366949;Municipalidad distrital de Recta, Municipalidad distrital de Chisquilla, Municipalidad distrital de Corosha;6;Si;No;No;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36376;7;10301;Amazonas;Bongará;Jumbilla;20223938125;MUNICIPALIDAD DISTRITAL DE CHILIQUIN;UF0009507;Botadero Chiliquín;18;190508.0;9324563.0;6.005311;2.869863;0.000287;Municipalidad distrital de Chiliquín;0.0015;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36377;8;10310;Amazonas;Bongará;Shipasbamba;20165779798;MUNICIP DISTRITAL DE SHIPASBAMBA;UF0010595;Botadero Sector Huarangopata;18;169723.0;9344887.0;195.208433;2385.758245;0.238576;Municipalidad distrital de Shipasbamba;1;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36378;9;10311;Amazonas;Bongará;Valera;20185603645;MUNICIPALIDAD DISTRITAL DE VALERA;UF0009663;Botadero de Valera;18;177407.0;9329251.0;117.057549;912.824184;0.091282;Municipalidad distrital de Valera;No Precisa;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36379;10;10312;Amazonas;Bongará;Yambrasbamba;20165782233;MUNICIPALIDAD DISTRITAL YAMBRASBAMBA;UF0009665;Botadero de Yambrasbamba;18;175464.0;9365939.0;192.057209;2313.793443;0.231379;Municipalidad distrital de Yambrasbamba;0.8;Si;No;No;Si;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36380;11;10312;Amazonas;Bongará;Yambrasbamba;20165782233;MUNICIPALIDAD DISTRITAL YAMBRASBAMBA;UF0037730;Botadero Sector El Mirador;18;171838.0;9374431.0;981.85;41400;4.14;Municipalidad distrital Yambrasbamba;0.42;Si;No;Si;Si;No;No;No;No;No;No;Recuperación;2024;Resolución N° 003-2024-OEFA/DSIS;;
36381;12;10103;Amazonas;Chachapoyas;Balsas;20165779879;MUNICIPALIDAD DISTRITAL DE BALSAS;UF0009574;Botadero de Balsas;17;829909.0;9244293.0;144.009361;1210.905069;0.121091;Municipalidad distrital de Balsas;0.08;Si;Si;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36382;13;10101;Amazonas;Chachapoyas;Chachapoyas;20168007168;MUNICIPALIDAD PROVINCIAL CHACHAPOYAS;UF0010195;Botadero Quebrada El Atajo;18;185790.0;9311685.0;602.83247;11242.699211;1.12427;Municipalidad provincial de Chachapoyas, Municipalidad distrital de Sonche, Municipalidad distrital de Huancas;31.85;No;No;Si;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36383;14;10101;Amazonas;Chachapoyas;Chachapoyas;20177726517;MUNICIPALIDAD DISTRITAL DE SOLOCO;UF0010747;Botadero Soloco;18;192534.0;9308499.0;175.032224;1632.898407;0.16329;Municipalidad distrital de Soloco;1.5;Si;No;No;No;No;No;No;No;No;No;Reconversión;2018;RCD N°026 -2018-OEFA/CD;;
36384;15;10108;Amazonas;Chachapoyas;Chachapoyas;20146919104;MUNICIPALIDAD DISTRITAL DE HUANCAS;UF0035311;Botadero Pongomia;18;181284.0;9314138.0;85;400;0.04;Municipalidad Distrital de Huancas;No precisa;No;No;No;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00067-2022-OEFA/DSIS;;
36385;16;10104;Amazonas;Chachapoyas;Cheto;20190691251;MUNICIPALIDAD DISTRITAL DE CHETO;UF0009586;Botadero de Cheto 1;18;201533.0;9307537.0;172;979;0.0979;Municipalidad distrital de Cheto;0;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36386;17;10104;Amazonas;Chachapoyas;Cheto;20190691251;MUNICIPALIDAD DISTRITAL DE CHETO;UF0010216;Botadero Queminas;18;199834.0;9307869.0;228;2950;0.295;Municipalidad distrital de Cheto;0.1;Si;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
36387;18;10105;Amazonas;Chachapoyas;Chiliquin;20223938125;MUNICIPALIDAD DISTRITAL DE CHILIQUIN;UF0009508;Botadero Chiliquín;18;190693.0;9324475.0;7.471618;4.442419;0.000444;Municipalidad distrital de Chiliquín;0.0015;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
