ID_registro;archivo_origen;N;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;RUC;RESPONSABLE;COD_UF;DENOMINACIÓN;ZONA;ESTE;NORTE;PERIMETRO;ÁREA_M2;ÁREA_HA;VOLUMEN;AMBITO;TIPO_ESPACIO;OPERATIVIDAD;SEGREGACIÓN;QUEMA_RRSS;AGUAJAL;BOFEDAL;PANTANO;AMORTIGUAMIENTO_ANP;ANP;CATEGORIA;Año;Documento
38437;7584838-anexo-ii-5.xlsx;1;10202;Amazonas;Bagua;Aramango;Por determinar;Por Determinar;UF0017874;Aramango;17;783762.0;9400504;222;1061.0;0.1061;64866;Urbano;Público;ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00018-2022-OEFA/DSIS
38438;7584838-anexo-ii-5.xlsx;2;10101;Amazonas;Chachapoyas;Chachapoyas;Por determinar;Por Determinar;UF0017863;Chachapoyas 1;18;184652.0;9311377;41.7;103.0;0.0103;164.8;Rural;Privado;NO ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00018-2022-OEFA/DSIS
38439;7584838-anexo-ii-5.xlsx;3;10101;Amazonas;Chachapoyas;Chachapoyas;Por determinar;Por Determinar;UF0017866;Chachapoyas 2;18;184651.0;9311463;107;313.0;0.0313;250.4;Rural;Privado;NO ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00018-2022-OEFA/DSIS
38440;7584838-anexo-ii-5.xlsx;4;10101;Amazonas;Chachapoyas;Chachapoyas;Por determinar;Por Determinar;UF0017867;Chachapoyas 3;18;185264.0;9311533;197;928.0;0.0928;1856;Rural;Privado;NO ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00018-2022-OEFA/DSIS
38441;7584838-anexo-ii-5.xlsx;5;10101;Amazonas;Chachapoyas;Chachapoyas;Por determinar;Por Determinar;UF0036008;Chachapoyas 9;18;185786.0;9311698;765;20127.0;2.0127;26152.1;Rural;Público;ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00054-2022-OEFA/DSIS
38442;7584838-anexo-ii-5.xlsx;6;10101;Amazonas;Chachapoyas;Chachapoyas;Por determinar;Por Determinar;UF0035171;Chachapoyas 4;18;184143.81;9311423.02;54;82.2;0.00822;57.54;Rural;Público;ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00054-2022-OEFA/DSIS
38443;7584838-anexo-ii-5.xlsx;7;10101;Amazonas;Chachapoyas;Chachapoyas;Por determinar;Por Determinar;UF0036717;El Gran Chaparral – Sector El Alfalfar;18;181204.0;9308796;480;17175.0;1.4175;283500;Rural;Privado;ACTIVO;No;No;No;No;No;No;No;Recuperación;2023;Resolución N.° 00058-2023-OEFA/DSIS
38444;7584838-anexo-ii-5.xlsx;8;10114;Amazonas;Chachapoyas;Molinopampa;Por determinar;Por Determinar;UF0035170;Molinopampa 1;18;205115.0;9312755;308;1740.0;0.174;2784;Rural;Público;ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00054-2022-OEFA/DSIS
38445;7584838-anexo-ii-5.xlsx;9;10502;Amazonas;Luya;Camporredondo;Por determinar;Por Determinar;UF0036007;Camporredondo 1;17;792867.43;9310825.65;170;1320.0;0.132;2244;Rural;Público;ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00054-2022-OEFA/DSIS
38446;7584838-anexo-ii-5.xlsx;10;10502;Amazonas;Luya;Camporredondo;Por determinar;Por Determinar;UF0035630;Camporredondo 2;17;794541.54;9315447.67;196;1220.0;0.122;1586;Rural;Público;ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00054-2022-OEFA/DSIS
38447;7584838-anexo-ii-5.xlsx;11;10701;Amazonas;Utcubamba;Bagua Grande;Por determinar;Por Determinar;UF0017872;El Zafiro;17;781852.0;9364418;392;3141.0;0.3141;6282;Rural;Privado;ACTIVO;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00018-2022-OEFA/DSIS
