ID_registro;0;CODIGO DE ADMINISTRADO (1);RUC;TITULAR;TIPO DE TITULAR ;"CODIGO DE UNIDAD FISCALIZABLE 
(1)";NOMBRE INFRAESTRUCTURA;TIPO DE INFRAESTRUCTURA (2);AMBITO GESTIÓN;VALORIZACIÓN;TRANSFERENCIA;TRATAMIENTO;DISPOSICIÓN FINAL;DEPARTAMENTO;PROVINCIA;DISTRITO;DIRECCIÓN;UBIGEO;ZONA;COORDENADA ESTE;COORDENADA NORTE;IGA-1;IGA-2;IGA-3;IGA-4;IGA-5;IGA-6;IGA-7;REGISTRO_AUTORITATIVO;ETAPA;FUENTE_ETAPA;FECHA_AS;OBSERVACIÓN;BENEFICIARIOS;GM_NP;GM_P;GNM_NP;GNM_P;ZONA.1;Año;Documento
39804;1;ADM17320;20565683447.0;ACEROS DAYANA IMPORT EXPORT S.A.C. - ACEROS DAYANA IMPEX S.A.C.;EORS;UF0009228;INSTALACIÓN DE COMERCIALIZACIÓN DE RESIDUOS SÓLIDOS;Infraestructura de Valorización;Municipal y No municipal;SI;NO;NO;NO;Lima;Lima;Puente Piedra;Mz C, Lote 4 Asociación de Vivienda Fundo Mi Estrella;150125;18.0;273701;8686013.0;R.D. Nº 1821-2018/DCEA/DIGESA/SA;-;-;-;-;-;;"EO-RS-0088-19-150125
  EO-RS-0088-19-150125 
 (Incorporación de unidades vehiculares y residuos sólidos)
   EO-RS-0088-19-150125 (Incorporación de unidades vehiculares) EO-RS-0088-19-150125 Anexo 1 (Incorporación de unidades vehiculares)
   EO-RS-0088-19-150125 Anexo 2 (Incorporación de unidades vehiculares)
   EO-RS-0088-19-150125 Anexo 03 (Modificación de la información)";OPERACIÓN;"Informe de operador de IV trimestre 2021
 SIGERSOL NO MUNICIPAL";2025-02-06 00:00:00;No aplica;No aplica;SI;NO;SI;NO;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39805;2;ADM16018;20512782087.0;ACEROS GEAN IMPORT EXPORT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;EORS;UF0009243;INSTALACIÓN DE COMERCIALIZACIÓN DE RESIDUOS SÓLIDOS;Infraestructura de Valorización;Municipal y No municipal;SI;NO;NO;NO;Lima;Lima;Puente Piedra;Asociación de Propietarios Los Parrales Lt 5;150125;18.0;273727.34;8685981.51;R.D. Nº 1837-2016/ DSA /DIGESA/SA;-;-;-;-;-;;"EO-RS-0091-19-150125
 
 EO-RS-0091-19-150125 Anexo 1 (Modificación de la Información)";OPERACIÓN;Supervisión;2025-02-12 00:00:00;No aplica;No aplica;SI;NO;SI;NO;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39806;3;ADM19228;20490469797.0;"BIO ABONOS DEL SUR SOCIEDAD ANONIMA CERRADA-""BIO ABONOS DEL SUR S.A.C.""";EORS;UF0014186;INSTALACIÓN DE PLANTA DE TRATAMIENTO DE DESECHOS ORGÁNICOS DE COMIDA PARA LA ELABORACIÓN DE HUMUS DE LOMBRIZ Y COMPOST A TRAVÉS DEL COMPOSTAJE;Infraestructura de Valorización;Municipal;SI;NO;NO;NO;Cusco;Quispicanchi;Oropesa;Sector Osccolloco s/n - Huasao;81211;19.0;195488;8498168.0;R.A. Nº 320-2019-MPQ/A;-;-;-;-;-;;EO-RS-00136-2021-MINAM-VMGA/DGRS;INOPERATIVA;Reporte de Verificación del 04/06/2024 (Registro 2024-I01-021800);-;No aplica;No aplica;SI;NO;NO;NO;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39807;4;ADM18744;20548415404.0;BIOILS PERU S.A.C.;EORS;UF0013341;PLANTA DE TRATAMIENTO DE RESIDUOS OLEOSOS;Infraestructura de Valorización;Municipal y No municipal;SI;NO;NO;NO;Callao;Callao;Callao;Calle Edwin White y Av. Huáscar N° 400, Urb Industrial La Chalaca;70101;18.0;268253;8667462.0;No tiene;-;-;-;-;-;;EO-RS - 00083-2022-MINAM/VMGA/DGRS;OPERACIÓN;Supervisión;2021-06-28 00:00:00;No aplica;No aplica;NO;SI;NO;SI;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39808;5;ADM15605;20501819795.0;CAMISEA COMBUSTIBLES S.R.L.;EORS;UF0009258;PLANTA DE TRATAMIENTO DE MEZCLAS OLEOSAS Y ACEITES USADOS;Infraestructura de Valorización;No municipal;SI;NO;NO;NO;Callao;Callao;Callao;Pasaje Don Oscar, Zona Rivereña Al Mar, Altura Cuadra 1 De La Avenida Centenario;70101;18.0;266961;8670621.0;R.D. N° 1340-2015/DEPA/DIGESA/SA;-;-;-;-;-;;"EO-RS-00124-2021-MINAM-VMGA/DGRS
 
 EO-RS-00124-2021-MINAM-VMGA/DGRS Anexo 1(Ampliación de operaciones)
 
 EO-RS-00124-2021-MINAM-VMGA/DGRS Anexo2 (Incorporación de unidades vehiculares)";OPERACIÓN;Supervisión;2021-07-22 00:00:00;No aplica;No aplica;NO;NO;NO;SI;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39809;6;ADM16032;20513294574.0;CAMPO LIMPIO;EORS;UF0009230;CENTRO DE ACOPIO DE ENVASES AGROQUÍMICOS CAMPO LIMPIO - TRUJILLO;Infraestructura de Valorización;No municipal;SI;NO;NO;NO;La Libertad;Trujillo;Huanchaco;Block M-1 - Parcelación Lote VD 122 III UC 15453, sector Valdivia Baja, altura cuadra 2 de la autopista al Aeropuerto, a 200 m del ovalo de Huanchaco;130104;17.0;709509;9105827.0;R.D. Nº 0241-2017/DSA/DIGESA/SA;-;-;-;-;-;;EO-RS-0026-19-130104;OPERACIÓN;Supervisión;2020-10-10 00:00:00;No aplica;No aplica;NO;NO;SI;NO;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39810;7;ADM16032;20513294574.0;CAMPO LIMPIO;EORS;UF0013834;CENTRO DE ACOPIO Y PLANTA DE ACONDICIONAMIENTO CAMPO LIMPIO - ICA;Infraestructura de Valorización;No municipal;SI;NO;NO;NO;Ica;Ica;Pueblo Nuevo;Km 313+800 de la carretera Panamericana Sur, fundo El Pino;110107;18.0;422666;8437240.0;R.D. Nº 0619-2018/DCEA/DIGESA/SA;-;-;-;-;-;;EO-RS-0026-19-130104;OPERACIÓN;"Informe de operador de II Trimestre 
 SIGERSOL NO MUNICIPAL";-;No aplica;No aplica;NO;NO;SI;NO;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39811;8;ADM17146;20553374546.0;CAS Y ROS E.I.R.L.;EORS;UF0009245;INSTALACIÓN DE COMERCIALIZACIÓN DE RESIDUOS SÓLIDOS;Infraestructura de Valorización;No municipal;SI;NO;NO;NO;Lima;Lima;Puente Piedra;Calle Los Ficus Mz H Lt 3 Urb. Shangrila;150125;18.0;273689;8682343.0;R.D. Nº 2485-2017/DCEA/DIGESA/SA;-;-;-;-;-;;No tiene;OPERACIÓN;Supervisión;2019-10-11 00:00:00;No aplica;No aplica;NO;NO;SI;SI;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39812;9;ADM11471;20100814324.0;CIA INDUSTRIAL LIMA S A CILSA;EORS;UF0009255;PLANTA DE TRATAMIENTO DE ACEITES USADOS;Infraestructura de Valorización;Municipal y No municipal;SI;NO;NO;NO;Lima;Lima;Puente Piedra;Calle Salitral, Lote 1, Los Gramadales, Tarapacá;150125;18.0;270859;8689009.0;R.D. Nº 1972/2005/DIGESA/SA;-;-;-;-;-;;"EO-RS-0054-18-150125
 
 EO-RS-0054-18-150125 Anexo 1 (Modificación de la información)
 
 EO-RS-0054-18-150125 (Incorporación de unidades vehiculares)
 
 EO-RS-0054-18-150125 Anexo 2 (Incorporación de unidades vehiculares)
 
 EO-RS-0054-18-150125 Anexo 3 (Incorporación de unidades vehiculares)";OPERACIÓN;Supervisión;2025-02-14 00:00:00;No aplica;No aplica;SI;NO;SI;SI;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
39813;10;ADM11522;20101372414.0;CIA QUIMICA INDUSTRIAL DEL PACIFICO SA;EORS;UF0009227;INSTALACIÓN DE COMERCIALIZACIÓN DE RESIDUOS SÓLIDOS;Infraestructura de Valorización;Municipal y No municipal;SI;NO;NO;NO;Callao;Callao;Callao;Av. Argentina 5064;70101;18.0;272039;8667246.0;R.D. Nº 0584-2017/DCEA/DIGESA/SA;-;-;-;-;-;;"EO-RS-0330-19-70101
 
 EO-RS-0330-19-70101 Anexo 1 
 Ampliación de operaciones
 
 EO-RS-0330-19-70101 (Incorporación de residuos sólidos y cambio de uso de unidad vehicular)";OPERACIÓN;Supervisión;2019-03-06 00:00:00;No aplica;No aplica;SI;SI;SI;SI;2022;Resolución N.° 00018-2022-OEFA/DSIS;Resolución N.° 00018-2022-OEFA/DSIS
