ID_registro;X;Y;N°;RUC;Administra;UF;Actividad;Coord_este;Coord_nort;Zona;DISTRITO;PROVINCIA
40703;-77.453204115362;-9.83824433463904;9;20524228500;FUDA MINING S.A;Puyobamba;Exploración;230930;8911487;18;CATAC;RECUAY
40704;-77.5231182524959;-9.75374552496306;10;20458538700;"COMPAÑIA MINERA
LINCUNA S.A.";Huancapeti;Explotación;223187;8920781;18;RECUAY;RECUAY
40705;-77.5850396730027;-9.44623681531759;11;20607441100;"MINERA BARRICK
PERU S.A.";Pierina;Explotación;216133;8954761;18;JANGAS;HUARAZ
40706;-77.7949512399583;-8.16015291296374;12;20511245000;MINERA QUILCA S.A.C.;Pushaquilca;Exploración;192002;9096930;18;PAMPAS;PALLASCA
40707;-77.4005129125932;-9.994133237543;13;20522922800;"BLUE DOME
EXPLORACIONES
SOCIEDAD ANONIMA
CERRADA";Don Marcelo;Exploración;236837;8894279;18;CATAC;RECUAY
40708;-77.7203108898572;-8.58807954587807;14;20262850500;"MINERA PEÑOLES DE
PERU S.A.";Pucajirca;Exploración;200561;9049626;18;CUSCA;CORONGO
40709;-77.9797769813549;-8.7908316599365;15;20254300200;TECK PERU S.A.;Pashpap;Exploración;172153;9026969;18;HUALLANCA;HUAYLAS
40710;-77.0818294412046;-9.50178915379738;16;20332908000;"EMPRESA MINERA
LOS QUENUALES S.A.";"Pasivos
Ambientales
Mineros del
Antiguo
Depósito de
Relaves
Contonga";Beneficio;271454;8948985;18;SAN MARCOS;HUARI
40711;-77.6704897367718;-8.61665611176063;17;20262850500;"MINERA PEÑOLES DE
PERU S.A.";Racaycocha;Exploración;206071;9046502;18;CASHAPAMPA;SIHUAS
40712;-76.9776984891519;-10.2053452348106;18;20100120300;"CIA MINERA SANTA
LUISA S A";Berlin;Exploración;283350;8871221;18;PACLLON;BOLOGNESI
40713;-77.5430866337599;-10.0799207591543;19;20100110500;"NEXA RESOURCES
PERU S.A.A.";"Proyecto de
exploración
Huacllon";Exploración;221271;8884668;18;HUAYLLAPAMPA;RECUAY
40714;-77.972681621374;-8.31076128832944;20;20601402800;"COMPAÑÍA MINERA
ELORO PERU S.A.C.";Victoria;Exploración;172524;9080118;18;HUANDOVAL;PALLASCA
40715;-77.8385985471698;-9.79983090696345;21;20100110500;"NEXA RESOURCES
PERU S.A.A.";Los Perdidos;Exploración;188593;8915405;18;CORIS;AIJA
40716;-77.6748213919902;-9.41055228056779;22;20100110500;"NEXA RESOURCES
PERU S.A.A.";Huarangayoc;Exploración;206237;8958636;18;YUNGAR;CARHUAZ
40717;-77.6678179481771;-9.71325786167677;23;20607441100;"MINERA BARRICK
PERU S.A.";Libélula;Exploración;207266;8925140;18;LA MERCED;AIJA
40718;-77.3688052033003;-8.82922562536365;24;20100110500;"NEXA RESOURCES
PERU S.A.A.";Coriminas;Exploración;239443;9023201;18;CASCA;MARISCAL LUZURIAGA
40719;-77.7199203379402;-8.548479733529;25;20524860900;"CORONGO
EXPLORACIONES
SOCIEDAD ANONIMA
CERRADA";Corongo;Exploración;200573;9054009;18;CUSCA;CORONGO
40720;-77.9906547422983;-8.23467246831977;26;20473955900;"BEAR CREEK MINING
COMPANY,SUCURSAL
DEL PERU";El Abuelo;Exploración;170479;9088526;18;PALLASCA;PALLASCA
40721;-77.8413919845939;-9.1217765998838;27;20114213900;"CIA. MINERA EL
FERROL S.A.C.";El Ferrol n°27;Exploración;187674;8990456;18;PUEBLO LIBRE;HUAYLAS
40722;-77.778515567885;-9.6228973698074;28;20473955900;"BEAR CREEK MINING
COMPANY,SUCURSAL
DEL PERU";Antash;Exploración;195029;8935044;18;LA LIBERTAD;HUARAZ
40723;-77.8079432924765;-8.16249340999532;29;20103030800;"ACTIVOS MINEROS
S.A.C.";"Pasivos
Ambientales
Mineros de la
Ex Unidad
Minera
Pushaquilca";Cierre de PAM;190571;9096661;18;PAMPAS;PALLASCA
40724;-77.4311892395493;-10.7128443185601;30;20521560200;"BLACK SWAN
MINERALS S.A.C.";Bambi;Exploración;234079;8814722;18;COCHAS;OCROS
40725;-77.8945013587591;-8.41561160518417;31;20538424000;"OBAN SOCIEDAD
ANONIMA CERRADA";Chosicano;Exploración;181229;9068576;18;CABANA;PALLASCA
