ID_registro;X;Y;P;PROVINCIA;DISTRITO;ALIMENTO;CONTAMINAN;RESULTADO;COND_AN;ESTE;NORTE;ZONA
40780;-77.3851428836123;-9.15415904845356;1.000000;ASUNCION;ACOCHACA;PAPA;ARSENICO;0.023;SIN PARAMETRO;237879.000000;8987236.000000;18
40781;-77.5751034115316;-10.260091583852;2.000000;BOLOGNESI;COLQUIOC;TOMATE;CADMIO;<0.026;EXCEDE LMP;217918.000000;8864701.000000;18
40782;-77.5785099065383;-10.2630107504023;3.000000;BOLOGNESI;COLQUIOC;MANZANA;ARSENICO;<0.012;SIN PARAMETRO;217547.200000;8864374.940000;18
40783;-77.9883600256266;-9.50750356920373;15.000000;CASMA;YAUTAN;NARANJA;ARSENICO;<0.012;SIN PARAMETRO;171866.400000;8947624.450000;18
40784;-77.9495862049089;-9.5385804018666;16.000000;CASMA;YAUTAN;PALTA;ARSENICO;<0.012;SIN PARAMETRO;176156.850000;8944220.750000;18
40785;-77.9870883222448;-9.49402878642181;18.000000;CASMA;YAUTAN;PALTA;ARSENICO;0.019;SIN PARAMETRO;171993.310000;8949117.360000;18
40786;-77.5309410216102;-9.52673199296088;20.000000;HUARAZ;HUARAZ;CAMOTE;ARSENICO;0.024;SIN PARAMETRO;222142.270000;8945896.750000;18
40787;-77.852008853041;-9.94506686609302;29.000000;HUARMEY;HUARMEY;TOMATE;CADMIO;0.036;EXCEDE LMP;187258.000000;8899316.000000;18
40788;-77.7686112078134;-9.884350494815;30.000000;HUARMEY;HUARMEY;TOMATE;CADMIO;0.06;EXCEDE LMP;196354.000000;8906114.000000;18
40789;-77.9206354018309;-10.0109427091764;31.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.015;SIN PARAMETRO;179791.000000;8891958.000000;18
40790;-77.9215708272773;-10.008540620273;32.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.013;SIN PARAMETRO;179686.000000;8892223.000000;18
40791;-77.9976340606437;-10.0100310658106;33.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;<0.011;SIN PARAMETRO;171341.000000;8891983.000000;18
40792;-77.7770103371136;-9.9639693936731;40.000000;HUARMEY;HUARMEY;MARACUYA;ARSENICO;<0.012;SIN PARAMETRO;195505.820000;8897293.630000;18
40793;-77.4305523520848;-8.81221085392782;41.000000;MARISCAL LUZURIAGA;CASCA;PAPA;ARSENICO;<0.013;SIN PARAMETRO;232635.000000;9025040.000000;18
40794;-77.4832858537557;-8.79345761979645;42.000000;POMABAMBA;POMABAMBA;HABA;ARSENICO;<0.014;SIN PARAMETRO;226817.000000;9027077.000000;18
40795;-77.7073714339827;-9.17649026348766;80.000000;YUNGAY;RANRAHIRCA;MELOCOTON;ARSENICO;<0.017;SIN PARAMETRO;202461.830000;8984513.760000;18
40796;-77.7113965572676;-9.16797292180758;81.000000;YUNGAY;RANRAHIRCA;MELOCOTON;ARSENICO;<0.017;SIN PARAMETRO;202012.040000;8985453.090000;18
