Proyecto;Lat;Long;Cuenca;Provincia;Lugar;Estado;Área;Plantones;Foto1;Foto2;Foto3
"""RECUPERACIÓN DE LOS SERVICIOS ECOSISTÉMICOS EN REGULACIÓN HÍDRICA EN LA PROVINCIA DE HUARI, DEL DEPARTAMENTO DE ANCASH""";-9.39807;-77.05101;Intercuenca Alto Marañón V;Huari;Chavín de Huantar;Ejecutado;960;1000000;;;
"""RECUPERACIÓN DE LOS SERVICIOS ECOSISTÉMICOS EN REGULACIÓN HÍDRICA Y CONTROL DE EROSIÓN DE SUELOS EN LA PROVINCIA DE AIJA, DEL DEPARTAMENTO DE ANCASH""";-9.75721;-77.66939;Cuenca Huarmey;Aija;Aija;Perfil elaborado;500;500000;;;
"INSTALACION DE ESPECIES FORESTALES PARA PROVISION DE SERVICIOS
AMBIENTALES, C C PACHACHIN, LUIS PARDO DE LACHOJ, CAHUIDE DE PACCHA, QUINGAO, JUAN VELAZCO DE PASACANCHA, PASACANCHA Y CASHAPAMPA, DIST SIHUAS, RAGASH, CASHAPAMPA, PROV SIHUAS -
ANCASH";-8.5024;-77.5484;Intercuenca Alto Marañón V;Sihuas;Huayllabamba;En ejecución;876;1124000;foto1_proyectosihuas.png;foto1_proyectosihuas.png;foto1_proyectosihuas.png
"INSTALACION DE ESPECIES FORESTALES PARA PROVISION DE SERVICIOS
AMBIENTALES, C C PACHACHIN, LUIS PARDO DE LACHOJ, CAHUIDE DE PACCHA, QUINGAO, JUAN VELAZCO DE PASACANCHA, PASACANCHA Y CASHAPAMPA, DIST SIHUAS, RAGASH, CASHAPAMPA, PROV SIHUAS -
ANCASH";-8.53548;-77.60518;Intercuenca Alto Marañón V;Sihuas;Sihuas;En ejecución;966;1200000;foto1_proyectosihuas.png;foto1_proyectosihuas.png;foto1_proyectosihuas.png
"INSTALACION DE ESPECIES FORESTALES PARA PROVISION DE SERVICIOS
AMBIENTALES, C C PACHACHIN, LUIS PARDO DE LACHOJ, CAHUIDE DE PACCHA, QUINGAO, JUAN VELAZCO DE PASACANCHA, PASACANCHA Y CASHAPAMPA, DIST SIHUAS, RAGASH, CASHAPAMPA, PROV SIHUAS -
ANCASH";-8.39823;-77.52387;Intercuenca Alto Marañón V;Sihuas;Quiches;En ejecución;636;816000;foto1_proyectosihuas.png;foto1_proyectosihuas.png;foto1_proyectosihuas.png
"""MANTENIMIENTO DEL SIFONAMIENTO DE LAS AGUAS DE LA LAGUNA PALCACOCHA, UBICADO EN EL DISTRITO DE INDEPENDENCIA, PROVINCIAS DE HUARAZ, REGIÓN ANCASH, ANTE PELIGRO INMINENTE DE DESBORDE E INCREMENTO DE SU VOLUMEN POR POSIBLE DESPRENDIMIENTO DE MASA GLACIAR PARA EL PERIODO 2026.2027""";-9.401554;-77.383022;Cuenca Santa;Palcacocha;Palcacocha;En ejecución;4.38;10500;;;
RECUPERACION DE LOS SERVICIOS ECOSISTÉMICOS EN ECOSISTEMA DE REGULACIÓN HÍDRICA Y CONTROL DE EROSIÓN DE SUELOS EN LAS COMUNIDADES CAMPESINAS DE ECASH Y 3 DE OCTUBRE DTTOS. DE CARHUAZ, YUNGAR, ATAQUERO Y DISTRITO DE ANTA DE LA PROVINCIA DE CARHUAZ DEL DEPARTAMENTO DE ANCASH;-9.36307;-77.69702;Cuenca Santa;Carhuaz;Ecash;Perfil elaborado;80;161000;foto1_proyectocarhuaz.png;foto3_proyectocarhuaz.png;
RECUPERACION DE LOS SERVICIOS ECOSISTÉMICOS EN ECOSISTEMA DE REGULACIÓN HÍDRICA Y CONTROL DE EROSIÓN DE SUELOS EN LAS COMUNIDADES CAMPESINAS DE ECASH Y 3 DE OCTUBRE DTTOS. DE CARHUAZ, YUNGAR, ATAQUERO Y DISTRITO DE ANTA DE LA PROVINCIA DE CARHUAZ DEL DEPARTAMENTO DE ANCASH;-9.37658;-77.67194;Cuenca Santa;Carhuaz;3 de octubre;Perfil elaborado;126;102000;foto1_proyectocarhuaz.png;foto2_proyectocarhuaz.png;
"""RECUPERACIÓN DE LOS SERVICIOS ECOSISTÉMICOS EN REGULACIÓN HÍDRICA Y CONTROL DE EROSIÓN DE SUELOS EN LAS COMUNIDADES CAMPESINAS DE LA PROVINCIA DE RECUAY, DEL DEPARTAMENTO DE ANCASH""";-9.81592;-77.40123;Cuenca Santa;Recuay;Recuay ;Perfil elaborado;327.3333333;419666.6667;foto1_proyectorecuay.jpeg;foto2_proyectorecuay.jpeg;foto3_proyectorecuay.jpeg
"""RECUPERACIÓN DE LOS SERVICIOS ECOSISTÉMICOS EN REGULACIÓN HÍDRICA Y CONTROL DE EROSIÓN DE SUELOS EN LAS COMUNIDADES CAMPESINAS DE LA PROVINCIA DE RECUAY, DEL DEPARTAMENTO DE ANCASH""";-10.01642;-77.58051;Cuenca Huarmey;Recuay;Tapacocha;Perfil elaborado;327.3333333;419666.6667;foto1_proyectorecuay.jpeg;foto2_proyectorecuay.jpeg;foto3_proyectorecuay.jpeg
"""RECUPERACIÓN DE LOS SERVICIOS ECOSISTÉMICOS EN REGULACIÓN HÍDRICA Y CONTROL DE EROSIÓN DE SUELOS EN LAS COMUNIDADES CAMPESINAS DE LA PROVINCIA DE RECUAY, DEL DEPARTAMENTO DE ANCASH""";-10.10282;-77.4671;Cuenca Fortaleza;Recuay;Marca;Perfil elaborado;327.3333333;419666.6667;foto1_proyectorecuay.jpeg;foto2_proyectorecuay.jpeg;foto3_proyectorecuay.jpeg
